STORE_ID,BOOK_ID,TRANSACTION_DATE,SALES
CA_1,2767052,7/14/2013,23
CA_1,2767052,7/24/2013,4
CA_1,2767052,7/31/2013,22
CA_1,2767052,8/5/2013,1
CA_1,2767052,8/14/2013,11
CA_1,2767052,8/22/2013,31
CA_1,2767052,8/25/2013,19
CA_1,2767052,8/31/2013,8
CA_1,2767052,9/7/2013,22
CA_1,2767052,9/14/2013,10
CA_1,2767052,9/22/2013,7
CA_1,2767052,10/4/2013,9
CA_1,2767052,10/11/2013,39
CA_1,2767052,10/13/2013,11
CA_1,2767052,10/25/2013,33
CA_1,2767052,10/27/2013,38
CA_1,2767052,11/4/2013,17
CA_1,2767052,11/14/2013,30
CA_1,2767052,11/18/2013,27
CA_1,2767052,11/27/2013,23
CA_1,2767052,12/5/2013,13
CA_1,2767052,12/11/2013,25
CA_1,2767052,12/14/2013,13
CA_1,2767052,12/23/2013,37
CA_1,2767052,12/31/2013,12
CA_1,2767052,1/7/2014,16
CA_1,2767052,1/12/2014,7
CA_1,2767052,1/22/2014,36
CA_1,2767052,1/27/2014,34
CA_1,2767052,2/2/2014,33
CA_1,2767052,2/11/2014,34
CA_1,2767052,2/15/2014,22
CA_1,2767052,2/27/2014,30
CA_1,2767052,3/7/2014,33
CA_1,2767052,3/11/2014,21
CA_1,2767052,3/21/2014,6
CA_1,2767052,3/24/2014,21
CA_1,2767052,4/1/2014,10
CA_1,2767052,4/5/2014,30
CA_1,2767052,4/15/2014,14
CA_1,2767052,4/21/2014,17
CA_1,2767052,4/28/2014,25
CA_1,2767052,5/3/2014,7
CA_1,2767052,5/13/2014,29
CA_1,2767052,5/20/2014,33
CA_1,2767052,5/24/2014,18
CA_1,2767052,6/2/2014,36
CA_1,2767052,6/9/2014,36
CA_1,2767052,6/20/2014,29
CA_1,2767052,6/27/2014,7
CA_1,2767052,7/3/2014,24
CA_1,2767052,7/10/2014,30
CA_1,2767052,7/17/2014,16
CA_1,2767052,7/22/2014,27
CA_1,2767052,8/1/2014,27
CA_1,2767052,8/3/2014,10
CA_1,2767052,8/15/2014,35
CA_1,2767052,8/21/2014,12
CA_1,2767052,8/27/2014,39
CA_1,2767052,9/3/2014,9
CA_1,2767052,9/11/2014,4
CA_1,2767052,9/17/2014,1
CA_1,2767052,9/21/2014,17
CA_1,2767052,9/28/2014,11
CA_1,2767052,10/6/2014,8
CA_1,2767052,10/13/2014,5
CA_1,2767052,10/19/2014,37
CA_1,2767052,10/27/2014,29
CA_1,2767052,11/6/2014,34
CA_1,2767052,11/14/2014,11
CA_1,2767052,11/17/2014,20
CA_1,2767052,11/27/2014,27
CA_1,2767052,12/1/2014,33
CA_1,2767052,12/10/2014,20
CA_1,2767052,12/16/2014,25
CA_1,2767052,12/20/2014,37
CA_1,2767052,12/27/2014,22
CA_1,2767052,1/3/2015,24
CA_1,2767052,1/13/2015,1
CA_1,2767052,1/18/2015,24
CA_1,2767052,1/26/2015,4
CA_1,2767052,2/6/2015,25
CA_1,2767052,2/10/2015,38
CA_1,2767052,2/17/2015,39
CA_1,2767052,2/24/2015,11
CA_1,2767052,3/5/2015,37
CA_1,2767052,3/12/2015,36
CA_1,2767052,3/18/2015,21
CA_1,2767052,3/24/2015,36
CA_1,2767052,4/1/2015,13
CA_1,2767052,4/8/2015,1
CA_1,2767052,4/12/2015,11
CA_1,2767052,4/19/2015,25
CA_1,2767052,4/29/2015,17
CA_1,2767052,5/8/2015,27
CA_1,2767052,5/14/2015,9
CA_1,2767052,5/19/2015,4
CA_1,2767052,5/27/2015,35
CA_1,2767052,6/4/2015,7
CA_1,2767052,6/8/2015,5
CA_1,2767052,6/13/2015,35
CA_1,2767052,6/23/2015,11
CA_1,2767052,7/1/2015,35
CA_1,2767052,7/10/2015,19
CA_1,2767052,7/17/2015,38
CA_1,2767052,7/21/2015,31
CA_1,2767052,7/28/2015,29
CA_1,2767052,8/4/2015,7
CA_1,2767052,8/9/2015,19
CA_1,2767052,8/16/2015,12
CA_1,2767052,8/28/2015,27
CA_1,2767052,9/2/2015,15
CA_1,2767052,9/6/2015,22
CA_1,2767052,9/18/2015,1
CA_1,2767052,9/19/2015,1
CA_1,2767052,9/26/2015,2
CA_1,2767052,10/8/2015,27
CA_1,2767052,10/16/2015,1
CA_1,2767052,10/22/2015,21
CA_1,2767052,10/24/2015,34
CA_1,2767052,11/1/2015,21
CA_1,2767052,11/12/2015,25
CA_1,2767052,11/17/2015,25
CA_1,2767052,11/26/2015,23
CA_1,2767052,12/3/2015,39
CA_1,2767052,12/8/2015,1
CA_1,2767052,12/15/2015,6
CA_1,2767052,12/20/2015,30
CA_1,2767052,12/31/2015,25
CA_1,2767052,1/2/2016,7
CA_1,2767052,1/14/2016,14
CA_1,2767052,1/19/2016,6
CA_1,2767052,1/28/2016,15
CA_1,2767052,2/1/2016,35
CA_1,2767052,2/9/2016,8
CA_1,2767052,2/14/2016,19
CA_1,2767052,2/23/2016,4
CA_1,2767052,3/3/2016,4
CA_1,2767052,3/7/2016,10
CA_1,2767052,3/12/2016,29
CA_1,2767052,3/19/2016,10
CA_1,2767052,3/30/2016,14
CA_1,2767052,4/3/2016,12
CA_1,2767052,4/13/2016,11
CA_1,2767052,4/17/2016,37
CA_1,2767052,4/26/2016,19
CA_1,2767052,5/1/2016,32
CA_1,2767052,5/8/2016,33
CA_1,2767052,5/19/2016,27
CA_1,2767052,5/21/2016,11
CA_1,2767052,6/1/2016,7
CA_1,2767052,6/5/2016,32
CA_1,2767052,6/12/2016,30
CA_1,2767052,6/19/2016,29
CA_1,3,6/19/2011,18
CA_1,3,6/25/2011,36
CA_1,3,7/8/2011,24
CA_1,3,7/15/2011,25
CA_1,3,7/22/2011,27
CA_1,3,7/23/2011,34
CA_1,3,7/31/2011,32
CA_1,3,8/6/2011,32
CA_1,3,8/14/2011,25
CA_1,3,8/24/2011,11
CA_1,3,8/31/2011,29
CA_1,3,9/9/2011,19
CA_1,3,9/16/2011,26
CA_1,3,9/18/2011,3
CA_1,3,9/29/2011,4
CA_1,3,10/5/2011,17
CA_1,3,10/13/2011,21
CA_1,3,10/15/2011,1
CA_1,3,10/23/2011,1
CA_1,3,11/4/2011,34
CA_1,3,11/11/2011,20
CA_1,3,11/13/2011,2
CA_1,3,11/22/2011,9
CA_1,3,11/27/2011,14
CA_1,3,12/9/2011,7
CA_1,3,12/14/2011,24
CA_1,3,12/18/2011,32
CA_1,3,12/29/2011,13
CA_1,3,1/3/2012,16
CA_1,3,1/7/2012,25
CA_1,3,1/20/2012,14
CA_1,3,1/21/2012,10
CA_1,3,1/28/2012,23
CA_1,3,2/5/2012,13
CA_1,3,2/16/2012,19
CA_1,3,2/20/2012,7
CA_1,3,3/2/2012,27
CA_1,3,3/9/2012,29
CA_1,3,3/11/2012,30
CA_1,3,3/18/2012,35
CA_1,3,3/25/2012,16
CA_1,3,4/5/2012,14
CA_1,3,4/11/2012,32
CA_1,3,4/16/2012,20
CA_1,3,4/27/2012,5
CA_1,3,5/4/2012,7
CA_1,3,5/9/2012,17
CA_1,3,5/14/2012,38
CA_1,3,5/23/2012,11
CA_1,3,5/29/2012,26
CA_1,3,6/7/2012,37
CA_1,3,6/11/2012,27
CA_1,3,6/22/2012,11
CA_1,3,6/27/2012,1
CA_1,3,7/2/2012,13
CA_1,3,7/7/2012,31
CA_1,3,7/15/2012,27
CA_1,3,7/25/2012,12
CA_1,3,8/3/2012,31
CA_1,3,8/7/2012,33
CA_1,3,8/12/2012,10
CA_1,3,8/23/2012,11
CA_1,3,8/30/2012,37
CA_1,3,9/2/2012,15
CA_1,3,9/13/2012,32
CA_1,3,9/19/2012,16
CA_1,3,9/28/2012,27
CA_1,3,9/30/2012,33
CA_1,3,10/10/2012,29
CA_1,3,10/14/2012,16
CA_1,3,10/21/2012,14
CA_1,3,10/30/2012,27
CA_1,3,11/6/2012,19
CA_1,3,11/13/2012,27
CA_1,3,11/21/2012,25
CA_1,3,11/26/2012,5
CA_1,3,12/1/2012,28
CA_1,3,12/12/2012,34
CA_1,3,12/17/2012,19
CA_1,3,12/26/2012,37
CA_1,3,1/4/2013,8
CA_1,3,1/6/2013,9
CA_1,3,1/13/2013,13
CA_1,3,1/20/2013,23
CA_1,3,1/29/2013,1
CA_1,3,2/6/2013,15
CA_1,3,2/11/2013,2
CA_1,3,2/17/2013,38
CA_1,3,2/26/2013,27
CA_1,3,3/5/2013,39
CA_1,3,3/10/2013,31
CA_1,3,3/19/2013,20
CA_1,3,3/23/2013,22
CA_1,3,4/2/2013,1
CA_1,3,4/7/2013,30
CA_1,3,4/15/2013,16
CA_1,3,4/22/2013,34
CA_1,3,4/30/2013,32
CA_1,3,5/6/2013,27
CA_1,3,5/17/2013,27
CA_1,3,5/19/2013,27
CA_1,3,5/27/2013,29
CA_1,3,6/2/2013,24
CA_1,3,6/10/2013,5
CA_1,3,6/19/2013,19
CA_1,3,6/23/2013,5
CA_1,3,7/5/2013,14
CA_1,3,7/7/2013,19
CA_1,3,7/16/2013,2
CA_1,3,7/26/2013,34
CA_1,3,8/2/2013,39
CA_1,3,8/5/2013,24
CA_1,3,8/14/2013,12
CA_1,3,8/22/2013,2
CA_1,3,8/29/2013,18
CA_1,3,9/1/2013,14
CA_1,3,9/8/2013,14
CA_1,3,9/19/2013,25
CA_1,3,9/26/2013,10
CA_1,3,9/28/2013,13
CA_1,3,10/6/2013,13
CA_1,3,10/12/2013,27
CA_1,3,10/24/2013,38
CA_1,3,10/31/2013,29
CA_1,3,11/3/2013,24
CA_1,3,11/10/2013,2
CA_1,3,11/20/2013,21
CA_1,3,11/23/2013,27
CA_1,3,12/2/2013,10
CA_1,3,12/13/2013,30
CA_1,3,12/17/2013,37
CA_1,3,12/25/2013,30
CA_1,3,1/3/2014,20
CA_1,3,1/6/2014,39
CA_1,3,1/17/2014,6
CA_1,3,1/24/2014,39
CA_1,3,1/31/2014,17
CA_1,3,2/2/2014,11
CA_1,3,2/13/2014,15
CA_1,3,2/21/2014,30
CA_1,3,2/26/2014,30
CA_1,3,3/1/2014,6
CA_1,3,3/9/2014,22
CA_1,3,3/21/2014,34
CA_1,3,3/27/2014,26
CA_1,3,4/3/2014,35
CA_1,3,4/5/2014,36
CA_1,3,4/14/2014,32
CA_1,3,4/20/2014,13
CA_1,3,5/1/2014,10
CA_1,3,5/9/2014,21
CA_1,3,5/10/2014,24
CA_1,3,5/22/2014,22
CA_1,3,5/28/2014,19
CA_1,3,6/5/2014,4
CA_1,3,6/11/2014,11
CA_1,3,6/14/2014,20
CA_1,3,6/26/2014,35
CA_1,3,6/29/2014,12
CA_1,3,7/6/2014,2
CA_1,3,7/16/2014,37
CA_1,3,7/22/2014,39
CA_1,3,7/29/2014,11
CA_1,3,8/7/2014,23
CA_1,3,8/14/2014,36
CA_1,3,8/17/2014,37
CA_1,3,8/25/2014,36
CA_1,3,9/2/2014,20
CA_1,3,9/6/2014,25
CA_1,3,9/17/2014,1
CA_1,3,9/23/2014,35
CA_1,3,9/30/2014,10
CA_1,3,10/5/2014,33
CA_1,3,10/16/2014,7
CA_1,3,10/20/2014,39
CA_1,3,10/29/2014,16
CA_1,3,11/4/2014,11
CA_1,3,11/12/2014,33
CA_1,3,11/20/2014,29
CA_1,3,11/27/2014,23
CA_1,3,12/2/2014,15
CA_1,3,12/10/2014,22
CA_1,3,12/19/2014,19
CA_1,3,12/23/2014,5
CA_1,3,1/1/2015,33
CA_1,3,1/6/2015,12
CA_1,3,1/14/2015,37
CA_1,3,1/20/2015,21
CA_1,3,1/26/2015,13
CA_1,3,1/31/2015,21
CA_1,3,2/13/2015,2
CA_1,3,2/20/2015,2
CA_1,3,2/26/2015,38
CA_1,3,3/4/2015,12
CA_1,3,3/9/2015,36
CA_1,3,3/14/2015,7
CA_1,3,3/21/2015,7
CA_1,3,4/1/2015,16
CA_1,3,4/7/2015,30
CA_1,3,4/13/2015,26
CA_1,3,4/23/2015,33
CA_1,3,4/27/2015,7
CA_1,3,5/4/2015,20
CA_1,3,5/9/2015,18
CA_1,3,5/19/2015,33
CA_1,3,5/28/2015,37
CA_1,3,5/31/2015,33
CA_1,3,6/7/2015,11
CA_1,3,6/15/2015,23
CA_1,3,6/20/2015,38
CA_1,3,7/1/2015,21
CA_1,3,7/7/2015,16
CA_1,3,7/17/2015,27
CA_1,3,7/19/2015,1
CA_1,3,7/31/2015,36
CA_1,3,8/4/2015,19
CA_1,3,8/8/2015,22
CA_1,3,8/19/2015,19
CA_1,3,8/23/2015,23
CA_1,3,8/30/2015,32
CA_1,3,9/7/2015,22
CA_1,3,9/13/2015,23
CA_1,3,9/24/2015,10
CA_1,3,10/1/2015,32
CA_1,3,10/3/2015,17
CA_1,3,10/12/2015,16
CA_1,3,10/18/2015,16
CA_1,3,10/27/2015,22
CA_1,3,11/2/2015,7
CA_1,3,11/13/2015,7
CA_1,3,11/19/2015,29
CA_1,3,11/23/2015,6
