Reviews,Ground truth values,1,2,3,4,5,Final Review Analysis,Avg of Work times
All was great,R,R,R,R,F,R,R,250.2
Placed order and very quick delivery,R,R,R,R,R,R,R,15
Was great thank you,R,R,R,R,R,R,R,112
Great support and help through the entire process.,R,R,R,R,R,R,R,97.8
Great and very quick help with refund!!!,R,R,R,R,R,R,R,451.4
Always love my seasonings! Fast delivery and great taste!,R,F,R,R,F,R,R,153.4
Size came back great,R,R,R,R,R,F,R,18.2
Easy to find the part I needed which was delivered quickly.,R,F,R,R,F,R,R,152.6
Chat Agent-was very helpful!,R,R,R,R,R,F,R,142.6
Great Company and Great service,R,R,R,R,R,R,R,17.2
Fast delivery & what I needed,R,R,R,R,R,F,R,141.4
Hi... after my review Specsavers solved my issue.,R,R,F,R,R,F,R,14.6
Fantastic service with a personal touch which was nice. Thank you!,R,R,R,R,R,R,R,123.6
SMM Panel is a Social Media Marketing website. I was delighted with this and the excellent service it provides.  thank you very much for this.,R,R,R,R,R,R,R,21.6
I have been using Spreaker for at least 5 years. My only complaint is that they need to not give our payments later than the date it's due.,R,F,R,R,R,R,R,113.4
World of Books did an oustanding job. The book arrived in fine condition.,R,R,F,R,R,R,R,13.2
Terrible quality for a high priced item. Took a long time to get it. No returns because it's a foreign based company. Beware!!,R,F,R,R,F,R,R,143
Very pleased with our settees. Very helpful all the way through as always. Thank you.,R,F,R,R,R,R,R,33
This is a great and best website to use. I am very satisfied with the services provided. Thanks for everything.,R,R,R,R,R,F,R,108.2
Lovely door knobs. Beautifully wrapped and speedy delivery. Really pleased with them. Thank you,R,R,R,R,R,F,R,24.6
"The product was great, the quality was good, fitted properly.",F,R,R,R,R,R,R,117.8
Little bit small and long,F,R,F,R,F,F,F,20.2
I love this top. I am obssesed with the colour brown.,F,F,R,R,R,F,R,11.6
"Ordered both colours, I love them",F,R,R,R,F,R,R,20.2
"l Love this beanie so much, it sags just right. Been searching for one like it for a long time.",F,F,F,R,R,R,R,142.2
